method,step_label,final_raw_w_over_D,final_clipped_w_over_D,max_newton_iterations,implicit_fallbacks
Explicit Euler,T/400,1.6793918555456084,1.0,,
RK4,T/400,0.35809771772581256,0.35809771772581256,,
Implicit Euler,T/400,2.6117147952916926,1.0,30.0,2.0
Explicit Euler,T/80,0.34002636620787197,0.34002636620787197,,
RK4,T/80,1.6936323083613856,1.0,,
Implicit Euler,T/80,1.7294883733864983,1.0,30.0,10.0
Explicit Euler,T/20,0.2794076084975337,0.2794076084975337,,
RK4,T/20,1.6436246477291232,1.0,,
Implicit Euler,T/20,3.6706799077005634,1.0,30.0,2.0
Explicit Euler,T/8,0.18819890808183837,0.18819890808183837,,
RK4,T/8,0.22245238640020465,0.22245238640020465,,
Implicit Euler,T/8,1.7061802258654541,1.0,30.0,4.0
