method,step_label,h_seconds,min_w_over_D,max_w_over_D,max_below_0_over_D,max_above_D_over_D,out_of_bounds_count,out_of_bounds_percent
Explicit Euler,T/400,2.4979184013322236e-11,0.5,1.6793918555456084,0.0,0.6793918555456084,1070,89.01830282861897
RK4,T/400,2.4979184013322236e-11,0.35809771772581256,1.1157022466457978,0.0,0.11570224664579773,8,0.6655574043261231
Implicit Euler,T/400,2.4979184013322236e-11,0.5,2.611846164235747,0.0,1.6118461642357471,1085,90.26622296173045
Explicit Euler,T/80,1.2448132780082989e-10,0.34002636620787197,1.1010945821496725,0.0,0.1010945821496726,2,0.8264462809917356
RK4,T/80,1.2448132780082989e-10,0.5,1.6936323083613856,0.0,0.6936323083613856,210,86.77685950413223
Implicit Euler,T/80,1.2448132780082989e-10,0.5,1.7294883733864983,0.0,0.7294883733864984,218,90.08264462809917
Explicit Euler,T/20,4.918032786885246e-10,0.2794076084975337,1.1804147935710936,0.0,0.18041479357109355,2,3.225806451612903
RK4,T/20,4.918032786885246e-10,0.5,1.6436246477291232,0.0,0.6436246477291232,55,88.70967741935483
Implicit Euler,T/20,4.918032786885246e-10,0.5,3.671608134363438,0.0,2.671608134363438,56,90.32258064516128
Explicit Euler,T/8,1.2000000000000002e-09,0.18819890808183837,1.0552292324173713,0.0,0.055229232417371425,1,3.8461538461538463
RK4,T/8,1.2000000000000002e-09,0.22245238640020465,0.7449956005482032,0.0,0.0,0,0.0
Implicit Euler,T/8,1.2000000000000002e-09,0.46369566403942775,1.7709379851002485,0.0,0.7709379851002486,17,65.38461538461539
