method,step_label,h_seconds,n_steps,runtime_repeats,runtime_seconds_first_run,runtime_median_seconds,runtime_min_seconds,runtime_per_step_seconds,runtime_per_period_seconds
Explicit Euler,T/400,2.4979184013322236e-11,1201,7,0.0011245099999541708,0.0011303450000923476,0.0010580250000202795,9.411698585281829e-07,0.0003767816666974492
RK4,T/400,2.4979184013322236e-11,1201,7,0.005211215000144875,0.004148170000007667,0.0039918729999044444,3.4539300582911465e-06,0.001382723333335889
Implicit Euler,T/400,2.4979184013322236e-11,1201,7,0.008776668999871617,0.00739899099971808,0.005865146999894932,6.160691923162432e-06,0.0024663303332393602
Explicit Euler,T/80,1.2448132780082989e-10,241,7,0.00026562400034890743,0.00026766700011648936,0.00025590399991415325,1.110651452765516e-06,8.922233337216312e-05
RK4,T/80,1.2448132780082989e-10,241,7,0.0009783629998310062,0.0008838720000312605,0.0006908260002091993,3.6675186723288817e-06,0.00029462400001042016
Implicit Euler,T/80,1.2448132780082989e-10,241,7,0.0028174989997751254,0.00275981499999034,0.0022009089998391573,1.1451514522781493e-05,0.0009199383333301133
Explicit Euler,T/20,4.918032786885246e-10,61,7,5.3405000016937265e-05,4.819000014322228e-05,4.502399997363682e-05,7.900000023479061e-07,1.606333338107409e-05
RK4,T/20,4.918032786885246e-10,61,7,0.00016958300011538086,0.00017306800009464496,0.0001601480003046163,2.837180329420409e-06,5.7689333364881655e-05
Implicit Euler,T/20,4.918032786885246e-10,61,7,0.00048222299983535777,0.0004900169997199555,0.0004767600003106054,8.033065569179598e-06,0.00016333899990665182
Explicit Euler,T/8,1.2000000000000002e-09,25,7,2.379400029894896e-05,2.1275000108289532e-05,2.016100006585475e-05,8.510000043315813e-07,7.0916667027631775e-06
RK4,T/8,1.2000000000000002e-09,25,7,7.824700014680275e-05,6.723500018779305e-05,6.64509998387075e-05,2.689400007511722e-06,2.241166672926435e-05
Implicit Euler,T/8,1.2000000000000002e-09,25,7,0.0005616890002784203,0.0005323340001268662,0.0005184830001780938,2.1293360005074648e-05,0.0001774446667089554
